region;year;total_population;male_percent
Регион;Год;Популяция;Мужчины_процент
залиманское поселение;2020;3290.0;47.7
бугаевское поселение;2020;784.0;48.5
рубашевское поселение;2020;975.0;48.3
аннинское городское поселение анна;2020;15316.0;45.1
аннинское городское поселение анна;2010;18032.0;45.5
аннинское городское поселение анна;2002;19416.0;46.0
васильевское поселение;2020;1032.0;46.0
ростошинское поселение;2020;1090.0;46.9
лисичанское поселение;2020;776.0;47.8
самодуровское поселение;2020;546.0;47.6
лозовское 1е поселение;2020;1590.0;49.9
ячейское поселение;2020;469.0;52.2
запрудское поселение;2020;706.0;47.5
правохавское поселение;2020;511.0;48.5
бутурлиновка;2020;24397.0;46.2
бутурлиновка;2010;27208.0;45.6
бутурлиновка;2002;28627.0;45.8
слобода подгорное;2020;3483.0;48.0
слобода подгорное;2010;3785.0;47.2
слобода подгорное;2002;7789.0;45.8
малоприваловское поселение;2020;656.0;48.9
давыдовское городское поселение;2020;6120.0;46.5
новоольшанское поселение;2020;1142.0;47.1
александровское поселение;2020;260.0;45.8
городское поселение город богучар богучар;2020;14370.0;52.9
городское поселение город богучар богучар;2010;11811.0;45.9
городское поселение город богучар богучар;2002;13756.0;48.7
перелешинский рабочий поселок;2020;2577.0;46.6
перелешинский рабочий поселок;2010;3122.0;45.1
перелешинский рабочий поселок;2002;3303.0;45.6
высокинское поселение;2020;2358.0;47.1
андреевское поселение;2020;326.0;49.7
ясеновское поселение;2020;732.0;51.1
городское поселение город поворино поворино;2020;16417.0;45.1
городское поселение город поворино поворино;2010;17692.0;45.0
городское поселение город поворино поворино;2002;18342.0;44.9
хреновское поселение;2020;4825.0;46.2
старинское поселение;2020;714.0;46.4
фисенковское поселение;2020;446.0;51.6
россошь;2020;60879.0;46.4
россошь;2010;62865.0;46.0
россошь;2002;62923.0;46.3
русановское поселение;2020;1328.0;46.4
николаевское поселение;2020;1320.0;47.6
озерское поселение;2020;644.0;44.9
рабочий поселок стрелица;2020;4008.0;45.2
рабочий поселок стрелица;2010;3937.0;44.6
рабочий поселок стрелица;2002;4828.0;45.0
городское поселение город калач;2020;18102.0;46.5
городское поселение город калач;2010;20046.0;45.6
городское поселение город калач;2002;20950.0;45.9
чистополянское поселение;2020;458.0;37.1
новая чигла;2002;3020.0;42.3
каменностепное поселение;2020;4531.0;46.4
село митрофановка;2020;4838.0;46.5
село митрофановка;2010;5395.0;45.7
село митрофановка;2002;5722.0;46.6
новомакаровское поселение;2020;476.0;50.4
латная рабочий поселок;2020;7285.0;45.6
латная рабочий поселок;2010;7528.0;45.7
латная рабочий поселок;2002;7333.0;45.2
костиноотдельское поселение;2020;1169.0;48.7
подгоренский;2020;5732.0;43.6
подгоренский;2010;6136.0;44.1
подгоренский;2002;6745.0;45.2
перелешино;2010;3964.0;69.9
перелешино;2002;3848.0;71.0
солдатское поселение;2020;858.0;46.5
первомайское поселение;2020;1111.0;49.8
сухогаевское поселение;2020;567.0;50.4
поселок перелешино;2010;3964.0;69.9
поселок перелешино;2002;3848.0;71.0
бычковское поселение;2020;1102.0;46.3
лизиновское поселение;2020;1823.0;46.7
таловское поселение;2020;1460.0;50.1
новопокровское поселение;2020;1304.0;46.5
рабочий поселок еланьколеновский;2020;3274.0;45.7
рабочий поселок еланьколеновский;2010;3916.0;45.3
рабочий поселок еланьколеновский;2002;4170.0;46.2
истобинское поселение;2020;1475.0;47.6
новосильское поселение;2020;1877.0;50.3
борисоглебск;2020;60687.0;46.8
борисоглебск;2010;65585.0;45.5
борисоглебск;2002;69392.0;45.5
новохарьковское поселение;2020;769.0;46.7
малогрибановское поселение;2020;783.0;48.1
острогожский район;2020;55747.0;46.5
острогожский район;2010;61291.0;47.6
острогожский район;2002;27972.0;44.9
новомарковское поселение;2020;1302.0;47.8
никольское;2020;817.0;47.4
никольское;2010;5517.0;46.9
никольское;2002;5383.0;46.9
пески;2020;6625.0;46.4
пески;2010;6953.0;46.5
пески;2002;7331.0;46.2
советское поселение;2020;313.0;47.9
можайское поселение;2020;1208.0;48.2
латная;2020;7285.0;45.6
латная;2010;7528.0;45.7
латная;2002;7333.0;45.2
село каширское;2020;4166.0;45.7
село каширское;2010;4342.0;45.9
село каширское;2002;4628.0;46.5
девицкое поселение;2020;676.0;44.8
покровское поселение;2020;1455.0;46.0
щучинское поселение;2020;1085.0;48.2
гаврильское поселение;2020;1264.0;48.1
таловское городское поселение рабочий поселок таловая;2020;11136.0;44.3
таловское городское поселение рабочий поселок таловая;2010;12219.0;45.0
таловское городское поселение рабочий поселок таловая;2002;13554.0;46.1
краснореченское поселение;2020;197.0;44.7
новожизненское поселение;2020;645.0;51.0
коломыцевское поселение;2020;997.0;46.7
казинское поселение;2020;1666.0;44.5
воронеж;2020;1057681.0;45.4
воронеж;2010;889680.0;44.7
воронеж;2002;928410.0;45.1
клеповское поселение;2020;1901.0;46.3
каменноверховское поселение;2020;505.0;46.9
старокриушанское поселение;2020;2116.0;47.4
вихляевское поселение;2020;460.0;49.8
гончаровское поселение;2020;692.0;48.8
репьевское поселение;2020;5493.0;44.9
елизаветовское поселение;2020;2062.0;48.2
старокалитвенское поселение;2020;2294.0;48.5
нороворотаевское поселение;2020;786.0;49.6
село подгорное;2010;9285.0;45.8
село подгорное;2002;7789.0;45.8
слобода;2020;3919.0;50.3
слобода;2010;3686.0;46.3
слобода;2002;3568.0;46.1
рабочий поселок хохольский;2020;7954.0;45.0
рабочий поселок хохольский;2010;7510.0;45.4
рабочий поселок хохольский;2002;7885.0;45.4
петренковское поселение;2020;965.0;45.6
алейниковское поселение;2020;1282.0;48.8
село верхняя тишанка;2010;3250.0;45.4
село верхняя тишанка;2002;3653.0;43.7
титаревское поселение;2020;893.0;50.7
грибановский;2020;14830.0;47.5
грибановский;2010;15686.0;47.6
грибановский;2002;17461.0;47.2
осадчевское поселение;2020;429.0;49.2
липовское поселение;2020;666.0;46.4
еланьколеновский рабочий поселок;2020;3274.0;45.7
еланьколеновский рабочий поселок;2010;3916.0;45.3
еланьколеновский рабочий поселок;2002;4170.0;46.2
отрадненское поселение;2020;11079.0;47.5
советский;2010;150716.0;43.8
советский;2002;148253.0;44.4
сухоберезовское поселение;2020;1090.0;50.2
новопостояловское поселение;2020;3287.0;49.1
подгоренское поселение;2020;1791.0;49.3
коминтерновский;2010;273243.0;44.6
коминтерновский;2002;241417.0;45.0
краснолиманское поселение;2020;1599.0;50.1
рамонь;2020;581.0;47.3
рамонь;2010;8354.0;45.2
рамонь;2002;8039.0;45.3
писаревское поселение;2020;1443.0;48.6
битюгматреновское поселение;2020;795.0;46.5
яменское поселение;2020;7658.0;47.8
еланьколеновское городское поселение;2020;3274.0;45.7
еланьколеновское городское поселение;2002;5344.0;45.6
пригородный;2020;3437.0;45.4
пригородный;2010;4163.0;45.4
пригородный;2002;4031.0;46.5
поселок заболотовка;2010;3156.0;45.1
поселок заболотовка;2002;3354.0;45.5
еланьколено;2020;3274.0;45.7
еланьколено;2010;3916.0;45.3
еланьколено;2002;5344.0;45.6
поселок колодезный;2020;5253.0;45.1
поселок колодезный;2010;5736.0;45.5
поселок колодезный;2002;5939.0;45.9
село репьевка;2020;5401.0;44.9
село репьевка;2010;5332.0;45.7
село репьевка;2002;5905.0;46.9
большеприваловское поселение;2020;600.0;51.3
хохольское городское поселение;2020;12695.0;45.6
хохольское городское поселение;2002;4944.0;46.2
подгорное;2020;3483.0;48.0
подгорное;2010;9285.0;45.8
подгорное;2002;7789.0;45.8
старотойденское поселение;2020;414.0;44.4
рамоньское поселение;2020;581.0;47.3
рамоньское поселение;2002;8039.0;45.3
айдаровское поселение;2020;5442.0;46.5
братковское поселение;2020;1023.0;49.4
ольховатка;2020;3276.0;44.3
ольховатка;2010;3806.0;44.0
ольховатка;2002;4424.0;44.0
село масловка;2010;8447.0;45.8
