region;total_population_2002;male_population;female_population;male_percent;female_percent
Регион;Популяция_2002;Мужчины;Женщины;Мужчины_процент;Женщины_процент
Российская Федерация;145166731;67605133;77561598;46,6;53,4
    Городское население;106429049;49149510;57279539;46,2;53,8
    Сельское население;38737682;18455623;20282059;47,6;52,4
Центральный федеральный округ;38000651;17547582;20453069;46,2;53,8
    Городское население;30366977;14019994;16346983;46,2;53,8
    Сельское население;7633674;3527588;4106086;46,2;53,8
Белгородская область;1511620;693509;818111;45,9;54,1
    Городское население;985584;453070;532514;46;54
    Сельское население;526036;240439;285597;45,7;54,3
  г. Белгород;337030;153298;183732;45,5;54,5
          городские округа   ;;;;;
        Западный ;195321;88886;106435;45,5;54,5
        Восточный ;141709;64412;77297;45,5;54,5
  г. Алексеевка;39312;18645;20667;47,4;52,6
  г. Валуйки;35790;17270;18520;48,3;51,7
  г. Губкин;86083;39850;46233;46,3;53,7
  г. Старый Оскол;215898;99555;116343;46,1;53,9
  г. Шебекино;45119;20361;24758;45,1;54,9
  Алексеевский район - сельское население;27493;12729;14764;46,3;53,7
      с. Иловка;3266;1484;1782;45,4;54,6
      прочие сельские населенные пункты;24227;11245;12982;46,4;53,6
  Белгородский район;90430;41670;48760;46,1;53,9
    Городское население;29885;13740;16145;46;54
      пгт Октябрьский;6899;3102;3797;45;55
      пгт Разумное;15332;7096;8236;46,3;53,7
      пгт Северный;7654;3542;4112;46,3;53,7
    Сельское население;60545;27930;32615;46,1;53,9
      с. Бессоновка;3021;1419;1602;47;53
      п. Дубовое;5201;2400;2801;46,1;53,9
      п. Майский;7441;3444;3997;46,3;53,7
      с. Стрелецкое;5654;2637;3017;46,6;53,4
      прочие сельские населенные пункты;39228;18030;21198;46;54
  Борисовский район ;26282;11985;14297;45,6;54,4
    Городское население - пгт Борисовка (рц);14072;6535;7537;46,4;53,6
    Сельское население;12210;5450;6760;44,6;55,4
  Валуйский район ;36601;16747;19854;45,8;54,2
    Городское население - пгт Уразово;6878;3218;3660;46,8;53,2
    Сельское население;29723;13529;16194;45,5;54,5
  Вейделевский район ;24555;11476;13079;46,7;53,3
    Городское население - пгт Вейделевка (рц);7188;3362;3826;46,8;53,2
    Сельское население;17367;8114;9253;46,7;53,3
  Волоконовский район ;35616;16261;19355;45,7;54,3
    Городское население;17049;7806;9243;45,8;54,2
      пгт Волоконовка (рц);12256;5589;6667;45,6;54,4
      пгт Пятницкое;4793;2217;2576;46,3;53,7
    Сельское население;18567;8455;10112;45,5;54,5
  Грайворонский район ;31567;14630;16937;46,3;53,7
    Городское население - г. Грайворон (рц);6196;2672;3524;43,1;56,9
    Сельское население;25371;11958;13413;47,1;52,9
      с. Головчино;5288;2374;2914;44,9;55,1
      прочие сельские населенные пункты;20083;9584;10499;47,7;52,3
  Губкинский район ;33974;15646;18328;46,1;53,9
    Городское население - пгт Троицкий;6157;2865;3292;46,5;53,5
    Сельское население;27817;12781;15036;45,9;54,1
      с. Скородное;3630;1674;1956;46,1;53,9
      прочие сельские населенные пункты;24187;11107;13080;45,9;54,1
  Ивнянский район ;24468;11125;13343;45,5;54,5
    Городское население - пгт Ивня (рц);7725;3498;4227;45,3;54,7
    Сельское население;16743;7627;9116;45,6;54,4
  Корочанский район ;39722;17904;21818;45,1;54,9
    Городское население - г. Короча (рц);6046;2765;3281;45,7;54,3
    Сельское население;33676;15139;18537;45;55
      с. Бехтеевка;3290;1517;1773;46,1;53,9
      прочие сельские населенные пункты;30386;13622;16764;44,8;55,2
  Красненский район - сельское население;15337;6898;8439;45;55
      с. Красное (рц);2322;1043;1279;44,9;55,1
      прочие сельские населенные пункты;13015;5855;7160;45;55
  Красногвардейский район ;44156;20335;23821;46,1;53,9
    Городское население - пгт Красногвардейское (рц) ;8079;3724;4355;46,1;53,9
    Сельское население;36077;16611;19466;46;54
      с. Засосна;4233;1939;2294;45,8;54,2
      с. Ливенка;4101;1927;2174;47;53
      прочие сельские населенные пункты;27743;12745;14998;45,9;54,1
  Краснояружский район ;15128;6895;8233;45,6;54,4
    Городское население - пгт Красная Яруга (рц);7823;3558;4265;45,5;54,5
    Сельское население;7305;3337;3968;45,7;54,3
  Новооскольский район ;47380;21673;25707;45,7;54,3
    Городское население - г. Новый Оскол (рц);20892;9659;11233;46,2;53,8
    Сельское население;26488;12014;14474;45,4;54,6
  Прохоровский район ;31847;14487;17360;45,5;54,5
    Городское население - пгт Прохоровка (рц);10007;4698;5309;46,9;53,1
    Сельское население;21840;9789;12051;44,8;55,2
  Ракитянский район ;35031;15885;19146;45,3;54,7
    Городское население;19137;8762;10375;45,8;54,2
      пгт Ракитное (рц);10462;4803;5659;45,9;54,1
      пгт Пролетарский;8675;3959;4716;45,6;54,4
    Сельское население;15894;7123;8771;44,8;55,2
  Ровеньский район ;25085;11656;13429;46,5;53,5
    Городское население - пгт Ровеньки (рц);9742;4488;5254;46,1;53,9
    Сельское население;15343;7168;8175;46,7;53,3
  Старооскольский район - сельское население;35063;15999;19064;45,6;54,4
      с. Городище;3448;1512;1936;43,9;56,1
      с. Роговатое;3023;1330;1693;44;56
      прочие сельские населенные пункты;28592;13157;15435;46;54
  Чернянский район ;33899;15480;18419;45,7;54,3
    Городское население - пгт Чернянка (рц);15067;6898;8169;45,8;54,2
    Сельское население;18832;8582;10250;45,6;54,4
  Шебекинский район ;47345;21414;25931;45,2;54,8
    Городское население - пгт Маслова Пристань;5597;2544;3053;45,5;54,5
    Сельское население;41748;18870;22878;45,2;54,8
      с. Новая Таволжанка;4989;2219;2770;44,5;55,5
      прочие сельские населенные пункты;36759;16651;20108;45,3;54,7
  Яковлевский район ;51409;23635;27774;46;54
    Городское население;28812;13299;15513;46,2;53,8
      г. Строитель (рц);18400;8441;9959;45,9;54,1
      пгт Томаровка;7816;3638;4178;46,5;53,5
      пгт Яковлево;2596;1220;1376;47;53
    Сельское население;22597;10336;12261;45,7;54,3
Брянская область;1378941;629601;749340;45,7;54,3
    Городское население;943382;428935;514447;45,5;54,5
    Сельское население;435559;200666;234893;46,1;53,9
  г. Брянск с подчиненными его администрации населенными пунктами - городское население;450289;202098;248191;44,9;55,1
      г. Брянск;431526;193585;237941;44,9;55,1
          городские районы ;;;;;
        Бежицкий ;160036;71122;88914;44,4;55,6
        Володарский ;78145;36132;42013;46,2;53,8
        Советский ;117879;52031;65848;44,1;55,9
        Фокинский ;75466;34300;41166;45,5;54,5
      пгт Белые Берега;10637;4749;5888;44,6;55,4
      пгт Большое Полпино;4613;2175;2438;47,1;52,9
      пгт Радица-Крыловка;3513;1589;1924;45,2;54,8
  г. Дятьково;33600;15014;18586;44,7;55,3
  г. Клинцы с подчиненными его администрации населенными пунктами - городское население;75198;34694;40504;46,1;53,9
      г. Клинцы;67325;30962;36363;46;54
      пгт Ардонь;2831;1330;1501;47;53
      пгт Займище;5042;2402;2640;47,6;52,4
  г. Новозыбков;43038;19334;23704;44,9;55,1
  г. Сельцо;19140;8746;10394;45,7;54,3
  Брасовский район;24972;12156;12816;48,7;51,3
    Городское население - пгт Локоть (рц);12094;6135;5959;50,7;49,3
    Сельское население;12878;6021;6857;46,8;53,2
  Брянский район - сельское население;52959;24507;28452;46,3;53,7
      с. Глинищево;4241;1951;2290;46;54
      д. Добрунь;4207;1912;2295;45,4;54,6
      п. Путевка;3730;1732;1998;46,4;53,6
      п. Свень;3562;1617;1945;45,4;54,6
      с. Супонево;8004;3805;4199;47,5;52,5
      прочие сельские населенные пункты;29215;13490;15725;46,2;53,8
  Выгоничский район ;22770;10756;12014;47,2;52,8
    Городское население - пгт Выгоничи (рц);5189;2408;2781;46,4;53,6
    Сельское население;17581;8348;9233;47,5;52,5
      с. Кокино;4710;2448;2262;52;48
      прочие сельские населенные пункты;12871;5900;6971;45,8;54,2
  Гордеевский район ;13956;6581;7375;47,2;52,8
    Городское население - пгт Мирный;1555;709;846;45,6;54,4
    Сельское население;12401;5872;6529;47,4;52,6
      с. Гордеевка (рц);3066;1475;1591;48,1;51,9
      прочие сельские населенные пункты;9335;4397;4938;47,1;52,9
  Дубровский район ;23145;10771;12374;46,5;53,5
    Городское население - пгт Дубровка (рц);8598;3981;4617;46,3;53,7
    Сельское население;14547;6790;7757;46,7;53,3
      п. Сеща;5140;2396;2744;46,6;53,4
      прочие сельские населенные пункты;9407;4394;5013;46,7;53,3
  Дятьковский район ;45773;20867;24906;45,6;54,4
    Городское население;36830;16743;20087;45,5;54,5
      г. Фокино;15504;7081;8423;45,7;54,3
      пгт Бытошь;4515;2044;2471;45,3;54,7
      пгт Ивот;6422;2886;3536;44,9;55,1
      пгт Любохна;5293;2434;2859;46;54
      пгт Старь;5096;2298;2798;45,1;54,9
    Сельское население;8943;4124;4819;46,1;53,9
  Жирятинский район - сельское население;8207;3829;4378;46,7;53,3
      с. Жирятино (рц);2371;1115;1256;47;53
      прочие сельские населенные пункты;5836;2714;3122;46,5;53,5
  Жуковский район ;39770;18611;21159;46,8;53,2
    Городское население;25119;11793;13326;46,9;53,1
      г. Жуковка (рц);19731;9004;10727;45,6;54,4
      пгт Ржаница;5388;2789;2599;51,8;48,2
    Сельское население;14651;6818;7833;46,5;53,5
  Злынковский район ;14056;6499;7557;46,2;53,8
    Городское население;8312;3819;4493;45,9;54,1
      г. Злынка (рц);5372;2424;2948;45,1;54,9
      пгт Вышков;2940;1395;1545;47,4;52,6
    Сельское население;5744;2680;3064;46,7;53,3
  Карачевский район ;37857;17187;20670;45,4;54,6
    Городское население - г. Карачев (рц);20175;9069;11106;45;55
    Сельское население;17682;8118;9564;45,9;54,1
  Клетнянский район ;22501;10560;11941;46,9;53,1
    Городское население - пгт Клетня (рц);13936;6536;7400;46,9;53,1
    Сельское население;8565;4024;4541;47;53
  Климовский район ;34556;15771;18785;45,6;54,4
    Городское население - пгт Климово (рц);14776;6866;7910;46,5;53,5
    Сельское население;19780;8905;10875;45;55
  Клинцовский район - сельское население;23581;11002;12579;46,7;53,3
  Комаричский район ;20065;9250;10815;46,1;53,9
    Городское население;9211;4203;5008;45,6;54,4
      пгт Комаричи (рц);7234;3287;3947;45,4;54,6
      пгт Лопандино;1977;916;1061;46,3;53,7
    Сельское население;10854;5047;5807;46,5;53,5
  Красногорский район ;16863;7967;8896;47,2;52,8
    Городское население - пгт Красная Гора (рц);6599;3142;3457;47,6;52,4
    Сельское население;10264;4825;5439;47;53
  Мглинский район ;22551;10516;12035;46,6;53,4
    Городское население - г. Мглин (рц);8261;3863;4398;46,8;53,2
    Сельское население;14290;6653;7637;46,6;53,4
  Навлинский район ;29783;13756;16027;46,2;53,8
    Городское население;15961;7262;8699;45,5;54,5
      пгт Навля (рц);14014;6385;7629;45,6;54,4
      пгт Алтухово;1947;877;1070;45;55
    Сельское население;13822;6494;7328;47;53
  Новозыбковский район - сельское население;14170;6347;7823;44,8;55,2
  Погарский район ;35588;16121;19467;45,3;54,7
    Городское население - пгт Погар (рц);11471;5265;6206;45,9;54,1
    Сельское население;24117;10856;13261;45;55
  Почепский район ;46972;21339;25633;45,4;54,6
    Городское население;17628;8109;9519;46;54
      г. Почеп (рц);17064;7854;9210;46;54
      пгт Рамасуха;564;255;309;45,2;54,8
    Сельское население;29344;13230;16114;45,1;54,9
  Рогнединский район ;8952;4100;4852;45,8;54,2
    Городское население - пгт Рогнедино (рц);3354;1529;1825;45,6;54,4
    Сельское население;5598;2571;3027;45,9;54,1
  Севский район ;18759;8621;10138;46;54
    Городское население - г. Севск (рц);7660;3472;4188;45,3;54,7
    Сельское население;11099;5149;5950;46,4;53,6
  Стародубский район ;44573;20730;23843;46,5;53,5
    Городское население - г. Стародуб (рц);18643;9027;9616;48,4;51,6
    Сельское население;25930;11703;14227;45,1;54,9
  Суземский район ;19513;8877;10636;45,5;54,5
    Городское население;12164;5477;6687;45;55
      пгт Суземка (рц);9712;4362;5350;44,9;55,1
      пгт Кокоревка;2452;1115;1337;45,5;54,5
    Сельское население;7349;3400;3949;46,3;53,7
  Суражский район ;27223;12469;14754;45,8;54,2
    Городское население - г. Сураж (рц);12046;5500;6546;45,7;54,3
    Сельское население;15177;6969;8208;45,9;54,1
  Трубчевский район ;41690;19054;22636;45,7;54,3
    Городское население;23496;10859;12637;46,2;53,8
      г. Трубчевск (рц);16342;7558;8784;46,2;53,8
      пгт Белая Березка;7154;3301;3853;46,1;53,9
    Сельское население;18194;8195;9999;45;55
  Унечский район ;46871;21471;25400;45,8;54,2
    Городское население - г. Унеча (рц);29039;13282;15757;45,7;54,3
    Сельское население;17832;8189;9643;45,9;54,1
Владимирская область;1523990;690012;833978;45,3;54,7
    Городское население;1213865;548505;665360;45,2;54,8
    Сельское население;310125;141507;168618;45,6;54,4
  г. Владимир с подчиненными его администрации населенными пунктами;336881;152897;183984;45,4;54,6
    Городское население;333601;151399;182202;45,4;54,6
      г. Владимир;315954;143288;172666;45,4;54,6
          городские районы;;;;;
        Ленинский ;119356;54206;65150;45,4;54,6
        Октябрьский ;79991;36172;43819;45,2;54,8
        Фрунзенский ;116607;52910;63697;45,4;54,6
      пгт Энергетик;6029;2747;3282;45,6;54,4
      пгт Юрьевец;11618;5364;6254;46,2;53,8
    Сельское население - п. Лесной;3280;1498;1782;45,7;54,3
  г. Александров;64824;28983;35841;44,7;55,3
  г. Вязники;40398;18074;22324;44,7;55,3
  г. Гусь-Хрустальный с подчиненными его администрации населенными пунктами ;70926;31092;39834;43,8;56,2
    Городское население;70675;30992;39683;43,9;56,1
      г. Гусь-Хрустальный;67121;29372;37749;43,8;56,2
      пгт Гусевский;3554;1620;1934;45,6;54,4
    Сельское население;251;100;151;39,8;60,2
  г. Ковров;155499;72361;83138;46,5;53,5
  г. Кольчугино;47059;21062;25997;44,8;55,2
  г. Муром;126901;56743;70158;44,7;55,3
  г. Собинка с подчиненными его администрации населенными пунктами - городское население;38140;16897;21243;44,3;55,7
      г. Собинка;21054;9275;11779;44,1;55,9
      г. Лакинск;17086;7622;9464;44,6;55,4
  г. Суздаль;11357;5112;6245;45;55
  г. Радужный;17506;8396;9110;48;52
  Александровский район ;55207;24565;30642;44,5;55,5
    Городское население;41212;18116;23096;44;56
      г. Карабаново;16015;6981;9034;43,6;56,4
      г. Струнино;16056;6974;9082;43,4;56,6
      пгт Балакирево;9141;4161;4980;45,5;54,5
    Сельское население;13995;6449;7546;46,1;53,9
  Вязниковский район;50692;22673;28019;44,7;55,3
    Городское население;25313;11241;14072;44,4;55,6
      пгт Лукново;2675;1198;1477;44,8;55,2
      пгт Мстера;5598;2518;3080;45;55
      пгт Никологоры;6390;2836;3554;44,4;55,6
      пгт Нововязники;5742;2509;3233;43,7;56,3
      пгт Октябрьский;2100;937;1163;44,6;55,4
      пгт Степанцево;2808;1243;1565;44,3;55,7
    Сельское население;25379;11432;13947;45;55
  Гороховецкий район ;25832;11537;14295;44,7;55,3
    Городское население - г. Гороховец (рц);14524;6508;8016;44,8;55,2
    Сельское население;11308;5029;6279;44,5;55,5
  Гусь-Хрустальный район ;50813;23152;27661;45,6;54,4
    Городское население;28784;13060;15724;45,4;54,6
      г. Курлово;7433;3364;4069;45,3;54,7
      пгт Анопино;2018;899;1119;44,5;55,5
      пгт Великодворский;2270;1036;1234;45,6;54,4
      пгт Добрятино;1979;906;1073;45,8;54,2
      пгт Золотково;3741;1720;2021;46;54
      пгт Иванищи;2199;1022;1177;46,5;53,5
      пгт Красное Эхо;2295;1035;1260;45,1;54,9
      пгт Мезиновский;2166;940;1226;43,4;56,6
      пгт Уршельский;4683;2138;2545;45,7;54,3
    Сельское население;22029;10092;11937;45,8;54,2
  Камешковский район ;37961;16726;21235;44,1;55,9
    Городское население;18657;8135;10522;43,6;56,4
      г. Камешково (рц);14161;6217;7944;43,9;56,1
      пгт Оргтруд;4496;1918;2578;42,7;57,3
    Сельское население;19304;8591;10713;44,5;55,5
  Киржачский район ;45188;20651;24537;45,7;54,3
    Городское население;32937;15006;17931;45,6;54,4
      г. Киржач (рц);22704;10446;12258;46;54
      пгт Красный Октябрь;10233;4560;5673;44,6;55,4
    Сельское население;12251;5645;6606;46,1;53,9
  Ковровский район ;31148;15762;15386;50,6;49,4
    Городское население;9177;4924;4253;53,7;46,3
      пгт Красный Маяк;876;377;499;43;57
