region;total_population;male_population;female_population;male_percent;female_percent
Регион;Популяция;Мужчины;Женщины;Мужчины_процент;Женщины_процент
Российская Федерация;142856536;66046579;76809957;46,2;53,8
Городское население;105313773;48117546;57196227;45,7;54,3
Сельское население;37542763;17929033;19613730;47,8;52,2
Центральный федеральный округ;38427539;17572602;20854937;45,7;54,3
Городское население;31251840;14215489;17036351;45,5;54,5
Сельское население;7175699;3357113;3818586;46,8;53,2
Белгородская область;1532526;705214;827312;46;54
Городское население;1012932;463681;549251;45,8;54,2
Сельское население;519594;241533;278061;46,5;53,5
г. Белгород;356402;161097;195305;45,2;54,8
  внутригородские округа;;;;;
  Восточный;141844;64164;77680;45,2;54,8
  Западный;214558;96933;117625;45,2;54,8
г. Алексеевка;39026;18378;20648;47,1;52,9
г. Валуйки;35322;17190;18132;48,7;51,3
г. Губкин;88560;41023;47537;46,3;53,7
г. Старый Оскол;221085;101265;119820;45,8;54,2
г. Шебекино;44279;20096;24183;45,4;54,6
Алексеевский район - сельское население;25425;11982;13443;47,1;52,9
село Иловка;3077;1437;1640;46,7;53,3
прочие сельские населенные пункты;22348;10545;11803;47,2;52,8
Белгородский район;108778;50526;58252;46,4;53,6
Городское население;33903;15528;18375;45,8;54,2
пгт Октябрьский;7456;3413;4043;45,8;54,2
пгт Разумное;16600;7603;8997;45,8;54,2
пгт Северный;9847;4512;5335;45,8;54,2
Сельское население;74875;34998;39877;46,7;53,3
село Бессоновка;3065;1437;1628;46,9;53,1
посёлок Дубовое;8627;3996;4631;46,3;53,7
посёлок Майский;8748;3995;4753;45,7;54,3
село Пушкарное;3332;1554;1778;46,6;53,4
село Стрелецкое;6862;3219;3643;46,9;53,1
село Таврово;5192;2452;2740;47,2;52,8
прочие сельские населенные пункты;39049;18345;20704;47;53
Борисовский район;26252;12293;13959;46,8;53,2
Городское население - пгт Борисовка (рц);13896;6545;7351;47,1;52,9
Сельское население;12356;5748;6608;46,5;53,5
Валуйский район;33845;15588;18257;46,1;53,9
Городское население - пгт Уразово;6982;3187;3795;45,6;54,4
Сельское население;26863;12401;14462;46,2;53,8
Вейделевский район;21670;10111;11559;46,7;53,3
Городское население - пгт Вейделевка (рц);7008;3204;3804;45,7;54,3
Сельское население;14662;6907;7755;47,1;52,9
Волоконовский район;32769;14788;17981;45,1;54,9
Городское население;16088;7275;8813;45,2;54,8
пгт Волоконовка (рц);11552;5241;6311;45,4;54,6
пгт Пятницкое;4536;2034;2502;44,8;55,2
Сельское население;16681;7513;9168;45;55
Грайворонский район;29137;13650;15487;46,8;53,2
Городское население - г. Грайворон (рц);6234;2730;3504;43,8;56,2
Сельское население;22903;10920;11983;47,7;52,3
село Головчино;4716;2113;2603;44,8;55,2
прочие сельские населенные пункты;18187;8807;9380;48,4;51,6
Губкинский район - сельское население;33561;15699;17862;46,8;53,2
село Скородное;3707;1717;1990;46,3;53,7
поселок Троицкий;6214;2861;3353;46;54
прочие сельские населенные пункты;23640;11121;12519;47;53
Ивнянский район;23570;10906;12664;46,3;53,7
Городское население - пгт Ивня (рц);7933;3679;4254;46,4;53,6
Сельское население;15637;7227;8410;46,2;53,8
Корочанский район;38695;17737;20958;45,8;54,2
Городское население - г. Короча (рц);5877;2628;3249;44,7;55,3
Сельское население;32818;15109;17709;46;54
село Бехтеевка;3290;1530;1760;46,5;53,5
прочие сельские населенные пункты;29528;13579;15949;46;54
Красненский район - сельское население;13371;6093;7278;45,6;54,4
село Красное (рц);2158;992;1166;46;54
прочие сельские населенные пункты;11213;5101;6112;45,5;54,5
Красногвардейский район;40636;18842;21794;46,4;53,6
Городское население - г. Бирюч (рц);7846;3575;4271;45,6;54,4
Сельское население;32790;15267;17523;46,6;53,4
село Засосна;4213;1941;2272;46,1;53,9
село Ливенка;3870;1792;2078;46,3;53,7
прочие сельские населенные пункты;24707;11534;13173;46,7;53,3
Краснояружский район;14891;6956;7935;46,7;53,3
Городское население - пгт Красная Яруга (рц);8028;3695;4333;46;54
Сельское население;6863;3261;3602;47,5;52,5
Новооскольский район;43396;19894;23502;45,8;54,2
Городское население - г. Новый Оскол (рц);19530;8932;10598;45,7;54,3
Сельское население;23866;10962;12904;45,9;54,1
Прохоровский район;30094;13901;16193;46,2;53,8
Городское население - пгт Прохоровка (рц);9761;4489;5272;46;54
Сельское население;20333;9412;10921;46,3;53,7
Ракитянский район;33935;15589;18346;45,9;54,1
Городское население;18940;8681;10259;45,8;54,2
пгт Ракитное (рц);10286;4750;5536;46,2;53,8
пгт Пролетарский;8654;3931;4723;45,4;54,6
Сельское население;14995;6908;8087;46,1;53,9
Ровеньский район;24060;11310;12750;47;53
Городское население - пгт Ровеньки (рц);10264;4823;5441;47;53
Сельское население;13796;6487;7309;47;53
Старооскольский район - сельское население;35457;16483;18974;46,5;53,5
село Городище;3562;1631;1931;45,8;54,2
село Роговатое;3001;1361;1640;45,4;54,6
прочие сельские населенные пункты;28894;13491;15403;46,7;53,3
Чернянский район;32647;15088;17559;46,2;53,8
Городское население - пгт Чернянка (рц);15217;6978;8239;45,9;54,1
Сельское население;17430;8110;9320;46,5;53,5
Шебекинский район;47889;22121;25768;46,2;53,8
Городское население - пгт Маслова Пристань;5819;2671;3148;45,9;54,1
Сельское население;42070;19450;22620;46,2;53,8
село Новая Таволжанка;5324;2407;2917;45,2;54,8
прочие сельские населенные пункты;36746;17043;19703;46,4;53,6
Яковлевский район;57774;26608;31166;46,1;53,9
Городское население;34932;16012;18920;45,8;54,2
г. Строитель (рц);23933;10917;13016;45,6;54,4
пгт Томаровка;8094;3740;4354;46,2;53,8
пгт Яковлево;2905;1355;1550;46,6;53,4
Сельское население;22842;10596;12246;46,4;53,6
Брянская область;1278217;582569;695648;45,6;54,4
Городское население;883427;397889;485538;45;55
Сельское население;394790;184680;210110;46,8;53,2
г. Брянск с подчиненными его администрации населенными пунктами - городское население;435245;194210;241035;44,6;55,4
г. Брянск;415721;185299;230422;44,6;55,4
  внутригородские районы;;;;;
  Бежицкий;155330;68352;86978;44;56
  Володарский;73791;33770;40021;45,8;54,2
  Советский;113328;49902;63426;44;56
  Фокинский;73272;33275;39997;45,4;54,6
пгт Белые Берега рп;9642;4331;5311;44,9;55,1
пгт Большое Полпино рп;6356;2978;3378;46,9;53,1
пгт Радица-Крыловка рп;3526;1602;1924;45,4;54,6
г. Клинцы с подчиненными его администрации населенными пунктами;70350;31914;38436;45,4;54,6
Городское население - г. Клинцы;62510;28243;34267;45,2;54,8
Сельское население;7840;3671;4169;46,8;53,2
село Займище;5297;2491;2806;47;53
прочие сельские населенные пункты;2543;1180;1363;46,4;53,6
г. Новозыбков;40553;18279;22274;45,1;54,9
г. Сельцо;17934;8179;9755;45,6;54,4
Брасовский район;21471;10515;10956;49;51
Городское население - пгт Локоть рп (рц);10028;4433;5595;44,2;55,8
Сельское население;11443;6082;5361;53,2;46,8
Брянский район - сельское население;56496;26032;30464;46,1;53,9
село Глинищево;4367;1996;2371;45,7;54,3
деревня Добрунь;4482;2019;2463;45;55
посёлок Путевка;4736;2148;2588;45,4;54,6
село Супонево;8585;4036;4549;47;53
прочие сельские населенные пункты;34326;15833;18493;46,1;53,9
Выгоничский район;20105;9497;10608;47,2;52,8
Городское население - пгт Выгоничи рп (рц);4945;2291;2654;46,3;53,7
Сельское население;15160;7206;7954;47,5;52,5
село Кокино;3863;2033;1830;52,6;47,4
прочие сельские населенные пункты;11297;5173;6124;45,8;54,2
Гордеевский район;12218;5701;6517;46,7;53,3
Городское население - пгт Мирный рп;1452;626;826;43,1;56,9
Сельское население;10766;5075;5691;47,1;52,9
село Гордеевка (рц);3109;1459;1650;46,9;53,1
прочие сельские населенные пункты;7657;3616;4041;47,2;52,8
Дубровский район;20094;9329;10765;46,4;53,6
Городское население - пгт Дубровка рп (рц);8015;3633;4382;45,3;54,7
Сельское население;12079;5696;6383;47,2;52,8
посёлок Сеща;4495;2138;2357;47,6;52,4
прочие сельские населенные пункты;7584;3558;4026;46,9;53,1
Дятьковский район;73935;33078;40857;44,7;55,3
Городское население;64393;28822;35571;44,8;55,2
г. Дятьково (рц);29439;13166;16273;44,7;55,3
г. Фокино;13876;6299;7577;45,4;54,6
пгт Бытошь рп;4255;1905;2350;44,8;55,2
пгт Ивот рп;6374;2803;3571;44;56
пгт Любохна рп;5446;2421;3025;44,5;55,5
пгт Старь рп;5003;2228;2775;44,5;55,5
Сельское население;9542;4256;5286;44,6;55,4
Жирятинский район - сельское население;7442;3555;3887;47,8;52,2
село Жирятино (рц);2537;1198;1339;47,2;52,8
прочие сельские населенные пункты;4905;2357;2548;48,1;51,9
Жуковский район;36983;17260;19723;46,7;53,3
Городское население - г. Жуковка (рц);18269;8161;10108;44,7;55,3
Сельское население;18714;9099;9615;48,6;51,4
село Ржаница;5032;2700;2332;53,7;46,3
прочие сельские населенные пункты;13682;6399;7283;46,8;53,2
Злынковский район;12917;5954;6963;46,1;53,9
Городское население;8207;3739;4468;45,6;54,4
г. Злынка (рц);5507;2494;3013;45,3;54,7
пгт Вышков рп;2700;1245;1455;46,1;53,9
Сельское население;4710;2215;2495;47;53
Карачевский район;36036;16252;19784;45,1;54,9
Городское население - г. Карачев (рц);19715;8761;10954;44,4;55,6
Сельское население;16321;7491;8830;45,9;54,1
Клетнянский район;20166;9325;10841;46,2;53,8
Городское население - пгт Клетня рп (рц);13313;6094;7219;45,8;54,2
Сельское население;6853;3231;3622;47,1;52,9
Климовский район;30003;13737;16266;45,8;54,2
Городское население - пгт Климово рп (рц);13892;6377;7515;45,9;54,1
Сельское население;16111;7360;8751;45,7;54,3
Клинцовский район - сельское население;20503;9749;10754;47,5;52,5
Комаричский район;18064;8285;9779;45,9;54,1
